model,eff_mae,eff_rmse,eff_r2,dhu_mae,dhu_rmse,dhu_r2,avg_r2
TrainingMean,16.740587186877445,20.80452039407252,-0.0006198925543039469,3.1269092303021604,3.938037270842829,-0.002061012098002024,-0.0013404523261529855
Persistence,6.906298157453936,8.79495836430257,0.8211778586128361,1.6392629815745394,2.0765007690550217,0.7213887085311053,0.7712832835719707
RollingMean7,8.54645250059823,10.787679393316653,0.7309643840772,2.0847439578846614,2.6160608158814895,0.5577883370447738,0.6443763605609869
Ridge,6.631081194345575,8.403289954158353,0.8367502917898698,1.5943740366244548,2.005733188596718,0.7400553746341731,0.7884028332120214
