model,eff_mae,eff_rmse,eff_r2,dhu_mae,dhu_rmse,dhu_r2,avg_r2
TrainingMean,18.850788938268824,22.844941763441383,-0.0011507574649674002,5.021810102885288,6.511721592761919,-0.04674904306456962,-0.02394990026476851
Persistence,11.89990099009901,19.35367252575137,0.2814679471030257,1.628775877587759,3.3633598215071925,0.7207471668364641,0.501107556969745
RollingMean7,13.650660066006601,19.00839720330646,0.306876910032878,1.7434409155201236,3.2901387022965563,0.732773614124603,0.5198252620787405
Ridge_a100,11.575415157932724,17.131318556881723,0.43700964921881036,1.608304094222888,2.956103120691641,0.7842801626633267,0.6106449059410686
